article_rank,article,informative_taxa,sign_diff,pvalue_diff,presence_diff,total_diff,taxon,difference_type,openai_value,claude_value,gemini_value,openai_raw,claude_raw,gemini_raw
1,PMC11107795,5,0,1,1,6,Ruminococcus,presence_mismatch;pvalue_mismatch,+0.024,,+0.05,+0.024 A,,+0.05 A {n=54}
1,PMC11107795,5,0,0,1,6,Bacteroides,presence_mismatch,+0.03,,,+0.03 A {n=40},,
1,PMC11107795,5,0,0,1,6,Lactobacillus,presence_mismatch,-0.02,,,-0.02 A {n=40},,
1,PMC11107795,5,0,0,1,6,Parabacteroides,presence_mismatch,+0.024,,,+0.024 A {n=38},,
1,PMC11107795,5,0,0,1,6,Ruminococcaceae,presence_mismatch,,,+0.05,,,+0.05 A {n=54}
2,PMC11838642,4,0,1,1,5,Lachnospiraceae,presence_mismatch;pvalue_mismatch,+0.02,+0.05,,+0.02 A {n=41},+0.05 A {n=41} [Enriched in responders at baseline; also enriched in no-irAE group],
2,PMC11838642,4,0,0,1,5,Blautia,presence_mismatch,+0.05,+0.05,,+0.05 A {n=41},+0.05 A {n=41} [Several Blautia species significantly associated with responders],
2,PMC11838642,4,0,0,1,5,Enterobacter,presence_mismatch,,,-0.05,,,-0.05 A {n=41} [Observed only in non-responders]
2,PMC11838642,4,0,0,1,5,Lachnospira,presence_mismatch,-0.002,,,-0.002 A {n=41},,
3,PMC8184628,3,0,1,1,4,Acinetobacter,presence_mismatch;pvalue_mismatch,,+8.94e-09,+8.94e-08,,+8.94e-09 B {n=369} [correlation coefficient = 0.28],+8.94e-08 B {n=369} [correlation coefficient = 0.28 (with infiltrating CD8+ T cells)]
3,PMC8184628,3,0,0,1,4,Lachnospiraceae,presence_mismatch,,+0.05,+0.05,,+0.05 B,+0.05 A [higher abundance in responders than non-responders]
3,PMC8184628,3,0,0,1,4,Synergistes,presence_mismatch,,+0.05,,,+0.05 B {n=369},
4,PMC11399570,2,0,1,1,3,Faecalibacterium,presence_mismatch;pvalue_mismatch,+0.0041,,+0.0039,+0.0041 C {n=74},,+0.0039 C {n=74}
4,PMC11399570,2,0,0,1,3,Escherichia,presence_mismatch,-0.00033,,-0.00033,-0.00033 C {n=74} [LDA > 3],,-0.00033 C {n=74}
5,PMC9641019,18,0,0,1,18,Alistipes,presence_mismatch,,+0.05,,,+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Anaerotruncus,presence_mismatch,-0.05,-0.05,,-0.05 C {n=3} [Enriched in non-responders at 12 weeks (LEfSe)],-0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Bacteroidales,presence_mismatch,,+0.05,,,+0.05 C {n=27} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Bacteroides,presence_mismatch,+0.05,+0.05,,+0.05 C {n=27} [Genus Bacteroides enriched in the non-AE group at baseline (LEfSe).],+0.05 C {n=27} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Barnesiella,presence_mismatch,,+0.05,,,+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Bifidobacterium,presence_mismatch,,+0.05,,,+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Bilophila,presence_mismatch,-0.05,-0.05,,-0.05 C {n=24} [Enriched in non-responders at 6 weeks (LEfSe)],-0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Butyricimonas,presence_mismatch,+0.05,+0.05,,+0.05 C {n=24} [Enriched in responders at 6 weeks (LEfSe)],+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Clostridiales,presence_mismatch,,+0.05,,,+0.05 C {n=27} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Clostridium,presence_mismatch,,+0.05,,,+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Collinsella,presence_mismatch,+0.05,+0.05,,+0.05 C {n=24} [Enriched in responders at 6 weeks (LEfSe)],+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Enterobacter,presence_mismatch,,-0.05,,,-0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Erysipelotrichaceae,presence_mismatch,,-0.05,,,-0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Eubacterium,presence_mismatch,,+0.05,,,+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Fusobacterium,presence_mismatch,-0.05,-0.05,,-0.05 C {n=3} [Enriched in non-responders at 12 weeks (LEfSe)],-0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Parabacteroides,presence_mismatch,+0.05,+0.05,,+0.05 C {n=24} [Enriched in responders at 6 weeks (LEfSe)],+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Phascolarctobacterium,presence_mismatch,+0.05,+0.05,,+0.05 C {n=24} [Enriched in responders at 6 weeks (LEfSe)],+0.05 C {n=24} [LDA score > 2.0],
5,PMC9641019,18,0,0,1,18,Porphyromonas,presence_mismatch,+0.05,+0.05,,+0.05 C {n=24} [Enriched in responders at 6 weeks (LEfSe)],+0.05 C {n=24} [LDA score > 2.0],
6,PMC10134792,16,0,0,1,16,Acidaminococcus,presence_mismatch,+0.05,,,+0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Adlercreutzia,presence_mismatch,-0.05,,,-0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Alistipes,presence_mismatch,+0.05,,,+0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Barnesiella,presence_mismatch,+0.05,,,+0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Bifidobacterium,presence_mismatch,+0.05,,,+0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Blautia,presence_mismatch,+0.05,,,+0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Collinsella,presence_mismatch,+0.05,,,+0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Coprococcus,presence_mismatch,-0.05,,,-0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Dialister,presence_mismatch,-0.05,,,-0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Eubacterium,presence_mismatch,+0.05,,,+0.05 A {n=680},,
6,PMC10134792,16,0,0,1,16,Faecalibacterium,presence_mismatch,+0.05,,,+0.05 A {n=680},,
