provider,taxon,conflict_kind,summary_row,matrix_row,summary_A,summary_B,summary_C,summary_positive_groups,summary_negative_groups,group,context_label,group_summary_z,group_summary_sign,opposite_direction_summary_groups,group_article_count,group_positive_articles,group_negative_articles,group_has_mixed_article_signs,article,raw_value,effect_text,article_direction,article_p,article_n,article_weight,article_z,article_weighted_contribution,article_opposes_group_summary
claude,Veillonella,cross_context_only,37,130,-1.95996398454005,,1.99539331016782,C,A,A,Melanoma response to immunotherapy,-1.95996398454005,negative,C,1,0,1,0,PMC10380337,-0.05 A {n=31} [enriched in non-responders],enriched in non-responders,-,0.05,31.0,31.0,-1.9599639845400534,-60.758883520741655,0
claude,Veillonella,cross_context_only,37,130,-1.95996398454005,,1.99539331016782,C,A,C,Other cancers + immunotherapy,1.99539331016782,positive,A,1,1,0,0,PMC11033470,"+0.046 C {n=375767} [OR = 0.998, 95% CI: 0.996–0.999]","OR = 0.998, 95% CI: 0.996–0.999",+,0.046,375767.0,375767.0,1.9953933101678243,749802.9579818328,0
gemini,Bacteroidales,cross_context_only,6,20,,2.21151780918668,-3.09023230616781,B,C,B,Melanoma survival,2.21151780918668,positive,C,1,1,0,0,PMC11033470,+0.027 B {n=375767} [0.997],0.997,+,0.027,375767.0,375767.0,2.211517809186682,831015.4126046519,0
gemini,Bacteroidales,cross_context_only,6,20,,2.21151780918668,-3.09023230616781,B,C,C,Other cancers + immunotherapy,-3.09023230616781,negative,B,1,0,1,0,PMC7489660,-0.002 C {n=65},,-,0.002,65.0,65.0,-3.090232306167813,-200.86509990090786,0
gemini,Veillonella,cross_context_only,46,130,-1.95996398454005,1.99539331016782,,B,A,A,Melanoma response to immunotherapy,-1.95996398454005,negative,B,1,0,1,0,PMC10380337,-0.05 A {n=31},,-,0.05,31.0,31.0,-1.9599639845400534,-60.758883520741655,0
gemini,Veillonella,cross_context_only,46,130,-1.95996398454005,1.99539331016782,,B,A,B,Melanoma survival,1.99539331016782,positive,A,1,1,0,0,PMC11033470,+0.046 B {n=375767} [0.998],0.998,+,0.046,375767.0,375767.0,1.9953933101678243,749802.9579818328,0
openai,Bacteroides,cross_context_only,9,108,,-3.39740368344945,1.95996398454005,C,B,B,Melanoma survival,-3.39740368344945,negative,C,3,0,3,0,PMID28368458,-0.0039 B {n=22} [shorter progression-free survival for the Bacteroides-driven baseline microbiota cluster B versus the Faecalibacterium-enriched cluster A],shorter progression-free survival for the Bacteroides-driven baseline microbiota cluster B versus the Faecalibacterium-enriched cluster A,-,0.0039,22.0,22.0,-2.8861388963409507,-63.49505571950091,0
openai,Bacteroides,cross_context_only,9,108,,-3.39740368344945,1.95996398454005,C,B,B,Melanoma survival,-3.39740368344945,negative,C,3,0,3,0,PMC6785875,-0.05 B {n=27} [shorter progression-free survival (selected >25% in repeated elastic-net Cox; FDR q<0.20)],shorter progression-free survival (selected >25% in repeated elastic-net Cox; FDR q<0.20),-,0.05,27.0,27.0,-1.9599639845400534,-52.91902758258144,0
openai,Bacteroides,cross_context_only,9,108,,-3.39740368344945,1.95996398454005,C,B,B,Melanoma survival,-3.39740368344945,negative,C,3,0,3,0,PMC9653730,-0.05 B [shorter PFS and OS],shorter PFS and OS,-,0.05,,1.0,-1.9599639845400534,-1.9599639845400534,0
openai,Bacteroides,cross_context_only,9,108,,-3.39740368344945,1.95996398454005,C,B,C,Other cancers + immunotherapy,1.95996398454005,positive,B,1,1,0,0,PMC11992761,+0.05 C {n=13} [enriched in responders to ICI (NSCLC subgroup)],enriched in responders to ICI (NSCLC subgroup),+,0.05,13.0,13.0,1.9599639845400534,25.479531799020695,0
