taxon,PMC10033402,PMC10134792,PMC10380337,PMC10469295,PMC10502728,PMC10576679,PMC10619027,PMC10685659,PMC10836381,PMC10891084,PMC11030969,PMC11107795,PMC11215408,PMC11218805,PMC11307144,PMC11399570,PMC11560503,PMC11629153,PMC11725654,PMC11790884,PMC11959079,PMC11976794,PMC12044807,PMC12068300,PMC12097070,PMC12230345,PMC12259845,PMC12434394,PMC1968162,PMC1971775,PMC2413004,PMC2763613,PMC3107470,PMC3469506,PMC4356589,PMC4399381,PMC4721659,PMC4740747,PMC4873287,PMC5360879,PMC5602478,PMC6386727,PMC6502797,PMC6707353,PMC6785875,PMC7055316,PMC7542661,PMC7680263,PMC7682137,PMC7793440,PMC8184628,PMC8204976,PMC8254025,PMC8278487,PMC8513370,PMC8650838,PMC8710942,PMC8862014,PMC8938272,PMC9503018,PMID10536168,PMID11103782,PMID11592838,PMID11750039,PMID12218113,PMID12481437,PMID12767067,PMID15003249,PMID15534488,PMID15695323,PMID1573270,PMID15867392,PMID19034678,PMID19716382,PMID22306905,PMID2469742,PMID281221,PMID28336551,PMID28368458,PMID28393253,PMID28641561,PMID30054925,PMID31857157,PMID31990790,PMID32820119,PMID32855157,PMID33504579,PMID33610587,PMID34453895,PMID3490903,PMID35830888,PMID36138151,PMID36863483,PMID37467825,PMID38103411,PMID38348999,PMID38490195,PMID38906102,PMID39481736,PMID39515321,PMID40437317,PMID40518810,PMID40619018,PMID41403228,PMID41581564,PMID41832741,PMID6091287,PMID6369594,PMID6369694,PMID6994866,PMID7032682,PMID7459817,PMID8502642,PMID8985520
Abiotrophia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacteraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasmataceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasmatales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces,,,-0.05 A {n=31} [under-represented in responders / enriched in non-responders],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomycetaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomycetales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adlercreutzia,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.05 A {n=20} [baseline enrichment in partial responders (PR) vs No-PR],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
