"phylum","class","order","family","genus","A","B","C","clFDR"
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",0,1.95996398454005,0,0.00426312591852855
"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",0,1.95996398454005,0,0.032792817414227
"Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",-2.70950030675198,0,0,0.0724385312197681
"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium",-2.70950030675198,0,0,0.0724385312197681
"Tenericutes","Mollicutes","Candidatus Izemoplasmatales","Candidatus Izemoplasmataceae","unclassified Candidatus Izemoplasma",0,0,0,0.105289352935461
"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","unclassified Desulfovibrionaceae",0,0,0,0.109883333910879
"Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium",0,0,0,0.120355040404795
"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",0,0,0,0.120355040404795
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hespellia",0,0,0,0.120355040404795
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lactonifactor",0,0,0,0.120355040404795
"Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","RFN20",0,0,0,0.120355040404795
"Synergistetes","Synergistia","Synergistales","Synergistaceae","Synergistes",0,0,0,0.120355040404795
"Lentisphaerae","unclassified Lentisphaerae","unclassified Bacteria","unclassified Bacteria","unclassified Bacteria",0,0,0,0.120355040404795
"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus",0,0,0,0.120355040404795
