phylum,class,order,family,genus,species,n_selected_otus,A_sum,B_sum,C_sum,min_clFDR
Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,67,0,0,0,0.14625379303878783
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,unclassified Oscillospira,35,-68.5987394589018,0,0,0.20767419024043438
Firmicutes,Clostridia,Clostridiales,Christensenellaceae,unclassified Christensenellaceae,unclassified Christensenellaceae,31,0,0,0,0.14625590875855815
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,unclassified Ruminococcaceae,27,52.91902758258138,0,0,0.2692958638724937
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,22,-59.60900674854353,0,0,0.13317070331460099
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,unclassified Ruminococcus,20,39.199279690801006,0,0,0.26953653292532737
Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,unclassified Mogibacteriaceae,unclassified Mogibacteriaceae,16,0,0,0,0.14632313134497768
Tenericutes,Mollicutes,Candidatus Izemoplasmatales,Candidatus Izemoplasmataceae,unclassified Candidatus Izemoplasma,unclassified Candidatus Izemoplasma,16,0,0,0,0.1509714156582849
Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified Rikenellaceae,unclassified Rikenellaceae,12,0,0,0,0.14722235840403383
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,11,-29.804503374271782,0,0,0.13703608110408233
Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,unclassified Muribaculaceae,unclassified Muribaculaceae,10,0,0,0,0.14654855322517651
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,unclassified Lachnospiraceae,10,19.5996398454005,0,0,0.26939407084259875
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unclassified Parabacteroides,9,0,17.63967586086045,0,0.08817937325702213
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,9,17.63967586086045,17.63967586086045,0,0.09750281543365616
Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,unclassified Sutterella,9,0,0,0,0.1509714156582849
Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium,unclassified Dehalobacterium,6,0,0,0,0.14722235840403378
Proteobacteria,Alphaproteobacteria,RF32,unclassified RF32,unclassified RF32,unclassified RF32,6,0,0,0,0.14761521978775757
Cyanobacteria,Candidatus Melainabacteria,Candidatus Gastranaerophilales,Candidatus Gastranaerophilaceae,unclassified Candidatus Gastranaerophilaceae,unclassified Candidatus Gastranaerophilaceae,6,0,0,0,0.19879575545914266
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,dispar,6,-11.7597839072403,0,0,0.2087394812686657
Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,unclassified Barnesiellaceae,unclassified Barnesiellaceae,5,-14.83868962670895,0,0,0.11693020894851107
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,unclassified Erysipelotrichaceae,unclassified Erysipelotrichaceae,5,0,0,0,0.1589358670706712
Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,unclassified Odoribacter,5,-9.84295834593295,0,0,0.20736045104782255
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified Streptococcus,5,-9.79981992270025,0,0,0.20865819428799
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unclassified Blautia,5,9.79981992270025,0,0,0.2693320229815961
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,faecis,5,9.79981992270025,0,0,0.2695169428281233
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,unclassified Coprococcus,5,9.79981992270025,0,0,0.26999872158711274
Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,finegoldii,4,0,0,0,0.14624401690833477
Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Prevotella,unclassified Prevotella,4,0,0,0,0.15097141565828492
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,unclassified Porphyromonas,4,0,0,0,0.15624794323541052
Cyanobacteria,Chloroplast,Streptophyta,unclassified Streptophyta,unclassified Streptophyta,unclassified Streptophyta,4,0,0,0,0.1589358670706712
Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,unclassified Desulfovibrio,4,0,0,0,0.1589358670706712
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Peptoniphilus,unclassified Peptoniphilus,4,0,0,0,0.16939091589557473
Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,unclassified Fusobacterium,4,-7.8398559381602,0,0,0.2087394812686657
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,unclassified Lachnospira,4,7.8398559381602,0,0,0.27083539434747395
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,gordonii,3,0,5.879891953620151,0,0.08745348663202696
Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,difficile,3,-8.12850092025594,0,0,0.13319505255387826
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,colinum,3,-8.12850092025594,0,0,0.13335688408736263
