"taxon","A","B","C"
"Actinomyces","-0.050",NA,NA
"Akkermansia","-0.014, 0.050",NA,"0.050"
"Bacteroidaceae","0.050, -0.050",NA,NA
"Barnesiellaceae","-0.003",NA,NA
"Clostridium","-0.050",NA,NA
"Collinsella","0.050",NA,NA
"Dorea","-0.050, 0.050",NA,NA
"Enterobacteriaceae","-0.050, -0.040",NA,NA
"Fusobacterium","-0.050",NA,NA
"Haemophilus",NA,NA,"-0.050"
"Lachnospiraceae","-0.050",NA,NA
"Megasphaera",NA,NA,"-0.050"
"Mucispirillum","0.050",NA,NA
"Odoribacteraceae","-0.049",NA,NA
"Oscillospira","0.050",NA,NA
"Phascolarctobacterium","0.060",NA,NA
"Rhodospirillales",NA,NA,"0.050"
"Roseburia","0.050",NA,NA
"Ruminococcaceae","0.050, 0.050",NA,NA
"Ruminococcus","-0.050",NA,NA
"Streptococcaceae","-0.050",NA,NA
"Streptococcus","-0.050",NA,NA
"Veillonella","-0.050",NA,NA
