"taxon","A","B","C"
"Actinomyces",-1.95996398454005,NA,NA
"Akkermansia",1.50501265869127,NA,1.95996398454005
"Bacteroidaceae",-1.6843963790233,NA,NA
"Barnesiellaceae",-2.96773792534179,NA,NA
"Clostridium",-1.95996398454005,NA,NA
"Collinsella",1.95996398454005,NA,NA
"Dorea",1.56435806527895,NA,NA
"Enterobacteriaceae",-2.83433887844973,NA,NA
"Fusobacterium",-1.95996398454005,NA,NA
"Haemophilus",NA,NA,-1.95996398454005
"Lachnospiraceae",-1.95996398454005,NA,NA
"Megasphaera",NA,NA,-1.95996398454005
"Mucispirillum",1.95996398454005,NA,NA
"Odoribacteraceae",-1.96859166918659,NA,NA
"Oscillospira",1.95996398454005,NA,NA
"Phascolarctobacterium",1.88079360815125,NA,NA
"Rhodospirillales",NA,NA,1.95996398454005
"Roseburia",1.95996398454005,NA,NA
"Ruminococcaceae",2.21637752786424,NA,NA
"Ruminococcus",-1.95996398454005,NA,NA
"Streptococcaceae",-1.95996398454005,NA,NA
"Streptococcus",-1.95996398454005,NA,NA
"Veillonella",-1.95996398454005,NA,NA
