"taxon","A","B","C"
"Actinomyces","-0.0500",NA,NA
"Adlercreutzia","0.0500",NA,NA
"Akkermansia","-0.0140, 0.0500",NA,"0.0500"
"Bacteroidaceae","0.0500, -0.0500",NA,NA
"Bacteroides",NA,"-0.0500, -0.0039",NA
"Barnesiellaceae","-0.0030",NA,NA
"Bilophila",NA,"-0.0500",NA
"Cerasicoccaceae","0.0500",NA,NA
"Clostridium","-0.0500, -0.0500",NA,NA
"Collinsella","0.0500",NA,NA
"Coriobacteriaceae","0.0500",NA,NA
"Dorea","-0.0500, 0.0500",NA,NA
"Enterobacteriaceae","-0.0400",NA,NA
"Faecalibacterium",NA,"0.0500",NA
"Fusobacterium","-0.0500",NA,NA
"Gemmiger","0.0500",NA,NA
"Haemophilus",NA,NA,"-0.0500"
"Lachnospiraceae","0.0500",NA,NA
"Leuconostocaceae","0.0500",NA,NA
"Megasphaera",NA,NA,"-0.0500"
"Moraxellaceae","-0.0500",NA,NA
"Mucispirillum","0.0500",NA,NA
"Odoribacteraceae","-0.0490",NA,NA
"Oscillospira","-0.0500",NA,NA
"Parabacteroides",NA,"0.0500",NA
"Prevotellaceae","0.0500",NA,NA
"Rhodospirillales",NA,NA,"0.0500"
"Ruminococcaceae","0.0500",NA,NA
"Streptococcus","-0.0500",NA,NA
"Veillonella","-0.0500",NA,NA
