"taxon","A","B","C"
"Actinomyces",-1.95996398454005,NA,NA
"Adlercreutzia",1.95996398454005,NA,NA
"Akkermansia",1.50501265869127,NA,1.95996398454005
"Bacteroidaceae",-1.6843963790233,NA,NA
"Bacteroides",NA,-3.34252852528512,NA
"Barnesiellaceae",-2.96773792534179,NA,NA
"Bilophila",NA,-1.95996398454005,NA
"Cerasicoccaceae",1.95996398454005,NA,NA
"Clostridium",-2.70950030675198,NA,NA
"Collinsella",1.95996398454005,NA,NA
"Coriobacteriaceae",1.95996398454005,NA,NA
"Dorea",1.56435806527895,NA,NA
"Enterobacteriaceae",-2.05374891063182,NA,NA
"Faecalibacterium",NA,1.95996398454005,NA
"Fusobacterium",-1.95996398454005,NA,NA
"Gemmiger",1.95996398454005,NA,NA
"Haemophilus",NA,NA,-1.95996398454005
"Lachnospiraceae",1.95996398454005,NA,NA
"Leuconostocaceae",1.95996398454005,NA,NA
"Megasphaera",NA,NA,-1.95996398454005
"Moraxellaceae",-1.95996398454005,NA,NA
"Mucispirillum",1.95996398454005,NA,NA
"Odoribacteraceae",-1.96859166918659,NA,NA
"Oscillospira",-1.95996398454005,NA,NA
"Parabacteroides",NA,1.95996398454005,NA
"Prevotellaceae",1.95996398454005,NA,NA
"Rhodospirillales",NA,NA,1.95996398454005
"Ruminococcaceae",1.95996398454005,NA,NA
"Streptococcus",-1.95996398454005,NA,NA
"Veillonella",-1.95996398454005,NA,NA
