"taxon","A","B","C"
"Actinomyces","0.05000",NA,NA
"Adlercreutzia","0.05000",NA,NA
"Akkermansia","-0.01400, 0.05000",NA,"0.05000"
"Bacteroidaceae","0.05000, -0.05000, 0.01000",NA,NA
"Bacteroides",NA,"-0.05000, -0.00390",NA
"Barnesiella","-0.00100",NA,NA
"Barnesiellaceae","-0.00300, 0.05000",NA,NA
"Bifidobacterium","0.05000",NA,NA
"Bilophila",NA,"-0.05000",NA
"Butyricimonas","-0.03100",NA,NA
"Cerasicoccaceae","0.05000",NA,NA
"Clostridium","0.05000, -0.05000",NA,NA
"Collinsella","0.05000",NA,NA
"Coriobacteriaceae","0.05000",NA,NA
"Dorea","-0.05000, 0.05000",NA,NA
"Enterobacteriaceae","-0.04000",NA,NA
"Enterobacteriales",NA,NA,"0.05000"
"Faecalibacterium",NA,"0.05000, 0.00390, 0.00800","0.00390"
"Fusobacterium","-0.05000",NA,NA
"Gemmiger","0.05000",NA,NA
"Haemophilus",NA,NA,"-0.05000"
"Lachnospira",NA,"-0.00900",NA
"Lachnospiraceae","0.05000",NA,NA
"Leuconostocaceae","0.05000",NA,NA
"Megasphaera",NA,NA,"-0.05000"
"Moraxellaceae","-0.05000",NA,NA
"Mucispirillum","0.05000",NA,NA
"Odoribacteraceae","-0.04900",NA,NA
"Oscillospira","-0.05000",NA,NA
"Parabacteroides",NA,"0.05000",NA
"Pasteurellaceae","-0.05000",NA,NA
"Prevotellaceae","0.05000",NA,NA
"Rhodospirillales",NA,NA,"0.10000"
"Rikenellaceae","0.05000",NA,NA
"Roseburia","0.05000",NA,NA
"Ruminococcaceae","0.05000",NA,NA
"Ruminococcus",NA,"-0.05000",NA
"Shigella",NA,NA,"-0.00033"
"Streptococcus","-0.05000",NA,NA
"Veillonella","-0.05000",NA,NA
