"kingdom","phylum","class","order","family","A","B","C"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",0,0,1.64485362695147
"Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",0,0,0
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",0,0,0
"Bacteria","Lentisphaerae","unclassified Lentisphaerae","Bacteria","Bacteria",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",1.48715574179048,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae",-0.712603787444001,0,0
"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae",0,0,0
"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae",0,0,0
"Bacteria","Verrucomicrobia","Opitutae","Cerasicoccales","Cerasicoccaceae",1.95996398454005,0,0
"Bacteria","Cyanobacteria","Chloroplast","Chlorophyta","Chlamydomonadaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae",0,0,0
"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae",0,0,0
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",-2.05374891063182,0,1.95996398454005
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","EtOH8",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae",0,0,0
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae",0,0,0
"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",0,0,0
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae",1.95996398454005,0,0
"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",0,0,0
