"taxon","A","B","C"
"Actinomyces",1.95996398454005,NA,NA
"Adlercreutzia",1.95996398454005,NA,NA
"Akkermansia",1.50501265869127,NA,1.95996398454005
"Bacteroidaceae",-1.27106907394998,NA,NA
"Bacteroides",NA,-3.34252852528512,NA
"Barnesiella",-3.29052673149192,NA,NA
"Barnesiellaceae",-0.434696310338533,NA,NA
"Bifidobacterium",1.95996398454005,NA,NA
"Bilophila",NA,-1.95996398454005,NA
"Butyricimonas",-2.15707270447901,NA,NA
"Cerasicoccaceae",1.95996398454005,NA,NA
"Clostridium",0.584402026946505,NA,NA
"Collinsella",1.95996398454005,NA,NA
"Coriobacteriaceae",1.95996398454005,NA,NA
"Dorea",1.56435806527895,NA,NA
"Enterobacteriaceae",-2.05374891063182,NA,NA
"Enterobacteriales",NA,NA,1.95996398454005
"Faecalibacterium",NA,3.36352062135103,2.88613889634095
"Fusobacterium",-1.95996398454005,NA,NA
"Gemmiger",1.95996398454005,NA,NA
"Haemophilus",NA,NA,-1.95996398454005
"Lachnospira",NA,-2.61205414122928,NA
"Lachnospiraceae",1.95996398454005,NA,NA
"Leuconostocaceae",1.95996398454005,NA,NA
"Megasphaera",NA,NA,-1.95996398454005
"Moraxellaceae",-1.95996398454005,NA,NA
"Mucispirillum",1.95996398454005,NA,NA
"Odoribacteraceae",-1.96859166918659,NA,NA
"Oscillospira",-1.95996398454005,NA,NA
"Parabacteroides",NA,1.95996398454005,NA
"Pasteurellaceae",-1.95996398454005,NA,NA
"Prevotellaceae",1.95996398454005,NA,NA
"Rhodospirillales",NA,NA,1.64485362695147
"Rikenellaceae",1.95996398454005,NA,NA
"Roseburia",1.95996398454005,NA,NA
"Ruminococcaceae",1.95996398454005,NA,NA
"Ruminococcus",NA,-1.95996398454005,NA
"Shigella",NA,NA,-3.59053493036591
"Streptococcus",-1.95996398454005,NA,NA
"Veillonella",-1.95996398454005,NA,NA
