"taxon","A","B","C"
"Acidaminococcus",NA,NA,1.95996398454005
"Actinomyces",-1.95996398454005,NA,NA
"Adlercreutzia",1.95996398454005,NA,NA
"Akkermansia",2.3557381444334,NA,1.95996398454005
"Alistipes",NA,NA,1.95996398454005
"Bacteroidaceae",1.95996398454005,NA,NA
"Bacteroidales",-1.95996398454005,NA,NA
"Bacteroides",NA,-3.34252852528512,NA
"Barnesiella",3.29052673149192,NA,NA
"Barnesiellaceae",2.96773792534179,NA,NA
"Bifidobacteriaceae",1.95996398454005,NA,NA
"Bifidobacterium",NA,NA,1.95996398454005
"Bilophila",NA,-1.95996398454005,NA
"Blautia",1.95996398454005,NA,NA
"Butyricimonas",2.15707270447901,NA,NA
"Cerasicoccaceae",1.95996398454005,NA,NA
"Clostridium",-2.70950030675198,1.95996398454005,NA
"Coriobacteriaceae",1.95996398454005,NA,NA
"Dorea",-1.95996398454005,NA,NA
"Enterobacteriaceae",2.29481641707241,NA,NA
"Eubacterium",NA,NA,1.95996398454005
"Faecalibacterium",NA,1.95996398454005,NA
"Fusobacterium",-1.95996398454005,NA,NA
"Gemmiger",1.95996398454005,NA,NA
"Haemophilus",NA,NA,-1.95996398454005
"Lachnospira",NA,NA,1.95996398454005
"Lachnospiraceae",-1.68953761696088,NA,1.95996398454005
"Leuconostocaceae",1.95996398454005,NA,NA
"Megasphaera",NA,NA,-1.95996398454005
"Moraxellaceae",-1.95996398454005,NA,NA
"Mucispirillum",1.95996398454005,NA,NA
"Odoribacteraceae",1.96859166918659,NA,NA
"Oscillospira",-1.95996398454005,NA,NA
"Parabacteroides",NA,1.95996398454005,NA
"Prevotellaceae",1.95996398454005,NA,NA
"Rhodospirillales",NA,NA,1.95996398454005
"Ruminococcaceae",1.98687325528828,NA,1.95996398454005
"Ruminococcus",2.98193521914036,NA,NA
"Streptococcus",-1.95996398454005,NA,-1.95996398454005
"Veillonella",-1.95996398454005,NA,NA
"Victivallaceae",NA,NA,1.95996398454005
