taxon,AE1,AE2,AE3,AE4,AE5
Acidaminococcus intestini,0.7430248,-0.34608275,-0.043745816,0.3615465,-0.46559364
Acinetobacter junii,-5.72361,4.014836,-8.488838,1.0657572,8.167462
Actinomyces graevenitzii,1.6116021,1.429617,0.5261961,-0.6188203,1.3000376
Actinomyces odontolyticus,0.6121449,-0.29362908,0.79531133,-0.5235768,1.5095208
Actinomyces sp ICM47,1.1566992,0.5853608,0.1450082,-0.24964775,0.9039587
Actinomyces sp oral taxon 181,0.46882236,-1.1397352,-0.028826654,-0.4789313,-0.08804874
Actinomyces sp oral taxon 414,1.9557731,1.0091159,1.2700416,0.13626687,1.6930296
Aeromonas allosaccharophila,4.7449937,-6.238787,-7.1547256,0.76271886,8.340717
Aeromonas caviae,1.1471984,-5.6680055,-5.76504,5.9940624,-4.6752453
Aeromonas hydrophila,-1.435997,-6.60972,-2.6963196,3.0400429,-3.5007627
Aeromonas media,1.3871864,1.0320274,1.3518784,8.592605,1.8553884
Agathobaculum butyriciproducens,0.67969847,-0.8648738,-0.22233245,-0.109204106,-0.6751158
Aggregatibacter segnis,-0.09336418,-0.75343806,0.46677274,-0.20012753,-0.16994043
Akkermansia muciniphila,0.78666705,-0.17723633,-0.57326764,0.0718005,-0.2034334
Alistipes finegoldii,-1.1048594,0.04832471,-1.8436266,1.5838257,-1.4302276
Alistipes indistinctus,0.61199343,-0.04827593,-0.4802314,0.6240592,0.054121405
Alistipes onderdonkii,-1.3090463,-0.1649318,-1.8890733,1.7936993,-1.1556997
Alistipes putredinis,0.26431054,0.08703079,-0.24128482,0.5145062,0.43902716
Alistipes timonensis,0.26145744,-0.09888857,-0.3795994,0.42963234,0.30014482
Alkaliphilus oremlandii,0.398108,-0.40354568,-0.61942846,-0.2438476,0.5284809
Allisonella histaminiformans,1.0285078,0.085676156,-0.13484001,0.34139928,0.0024120212
Alloscardovia omnicolens,0.6656399,-0.65010226,0.0450162,-0.38906398,0.12965211
Anaeroglobus geminatus,1.240832,-0.09971693,-0.104788095,1.0969236,-0.636497
Anaeromassilibacillus sp An250,0.26420224,-1.3616803,-0.9673568,-0.41664872,-0.2582106
Anaerostipes caccae,0.50178444,-0.4974457,-0.18468261,-0.0043830825,-0.75518626
Anaerostipes hadrus,0.21894619,-0.46986705,1.0997955,-0.049523525,-0.9162682
Anaerotignum lactatifermentans,0.75563717,-0.54375494,-0.22026542,0.10281534,-0.6418712
Anaerotruncus colihominis,0.29337373,-1.72965,2.2807446,0.5863437,-1.6875234
Anaerotruncus sp CAG 528,0.8076314,-0.26784378,0.15292168,0.083340526,-0.752571
Bacteroides caccae,0.13601497,0.06124439,-0.6457778,1.1934035,0.8960235
Bacteroides cellulosilyticus,-1.0870862,-0.93462217,-1.620142,1.9235834,-0.4805138
Bacteroides clarus,0.45179936,0.06320598,-1.1053195,0.787114,0.17730436
Bacteroides coprocola,0.5412749,-0.07302285,-0.513913,0.7234864,0.011025816
Bacteroides coprophilus,0.49904364,-0.007201664,-0.81803876,0.59081614,0.108419955
Bacteroides dorei,0.19026512,-0.008169301,-0.45405853,0.9531644,0.7332381
Bacteroides eggerthii,0.33177975,-0.19937825,-0.7561456,0.5769047,0.15074179
Bacteroides faecichinchillae,0.14245903,0.051970832,-0.6886813,1.0473299,0.85933256
Bacteroides faecis,-0.104481936,-0.08173814,-0.94021297,1.298016,1.0821185
Bacteroides finegoldii,0.10292137,0.0054956153,-0.71572053,1.3060975,0.88089657
Bacteroides fragilis,-1.7218344,-0.6389809,-2.3202202,4.088308,1.1576624
Bacteroides intestinalis,-0.4129656,-0.5225436,-1.0481125,1.2101027,-0.57875794
Bacteroides massiliensis,0.57345575,-0.16562325,-0.369216,0.65522915,0.28050157
Bacteroides nordii,-0.37558013,0.101656325,-0.21209359,1.1731228,1.2580535
Bacteroides oleiciplenus,-0.5211089,-0.46342754,-0.9598574,1.0025978,-0.8416438
Bacteroides ovatus,0.16861278,0.29208836,-0.8766522,1.5090706,1.0185412
Bacteroides plebeius,0.5290349,-0.21151137,-0.67326117,0.6752999,-0.052140683
Bacteroides salyersiae,-0.40442282,0.039065547,-0.2139417,1.1934881,1.2403941
Bacteroides sartorii,0.40545183,-0.15095443,-0.31568876,0.6530181,0.3470519
Bacteroides sp CAG 144,0.98817575,0.17248115,-0.2695924,0.8399588,-0.45768893
Bacteroides sp CAG 530,0.8072452,0.03042432,-0.6069572,0.8350383,-0.11945279
Bacteroides sp D2,0.19065017,0.47450992,-0.5386833,1.4225862,1.1854672
Bacteroides sp OM05 12,0.105858,0.2677412,-0.6112623,1.2568063,1.0596883
Bacteroides stercoris,0.43590707,0.09409361,-1.1998057,0.8587786,0.13596973
Bacteroides thetaiotaomicron,-2.1338322,-2.7167416,-4.289798,3.1411386,2.5249197
Bacteroides uniformis,-0.43757874,0.47264823,-0.91949797,3.145739,1.0239234
Bacteroides vulgatus,-0.094613254,-0.30400997,-0.56135476,0.87890923,-0.19450058
Bacteroides xylanisolvens,0.25460094,0.3545381,-0.6049178,1.1952412,0.7991066
Barnesiella intestinihominis,0.74289215,-0.018639542,-0.33156615,0.57292217,-0.17984727
Bifidobacterium adolescentis,0.26720628,0.35143092,-1.0060766,-1.12408,-1.6161674
Bifidobacterium angulatum,-0.076438725,0.6003683,-0.7527747,-1.2356696,-2.0216727
Bifidobacterium animalis,-0.25003785,0.16682634,-3.3717976,-0.32372382,-2.2437258
Bifidobacterium bifidum,-0.8156902,-0.14271225,-1.6110829,-1.1492329,-1.4090413
Bifidobacterium breve,-0.38416553,-0.3548454,-1.8024293,-0.791908,-0.6760948
Bifidobacterium catenulatum,0.43026125,-0.1809296,-1.4046001,-0.9274348,0.7043909
Bifidobacterium dentium,0.0849362,0.021423839,-1.2247627,-1.1448421,-0.83657646
Bifidobacterium longum,-2.5363,-0.9483455,-3.784421,-0.7020801,-1.677185
Bifidobacterium pseudocatenulatum,0.28225046,0.34816357,-0.7859674,-0.93105245,-1.5265131
Bifidobacterium pseudolongum,0.35217887,0.20199648,-0.3773516,-1.0123773,-0.9712639
Bilophila wadsworthia,0.82511044,-0.05109798,-0.24860494,-0.13146357,-0.31376734
Blautia hansenii,0.48924103,-0.67710525,-0.2583785,-0.14151923,-0.5998743
Blautia hydrogenotrophica,0.6761311,-0.47869346,0.9474007,0.13575332,0.23212424
Blautia obeum,0.23522174,-0.35628644,0.3199302,0.09943907,-1.0336989
Blautia sp CAG 257,0.42976564,-0.647682,0.13523573,0.113258764,-1.5500112
Blautia wexlerae,0.14736295,-0.5662835,0.21041286,0.012836128,-0.94388056
Brachyspira pilosicoli,0.56215745,-0.062439773,-0.055300772,0.11638808,-0.13567798
Butyricicoccus pullicaecorum,1.015842,-0.81925935,-0.43388483,-0.094154194,-0.87896645
Butyricimonas virosa,0.5298693,-0.17257889,-0.37402624,0.5587078,0.003353417
Butyrivibrio crossotus,0.42042184,-0.51810277,-0.16821203,0.020322204,-0.6117356
Campylobacter concisus,2.9990122,-2.2136934,0.7254342,-5.2863064,1.7133701
Catenibacterium mitsuokai,0.007075906,-0.24526489,-0.4218061,0.7951671,0.32016805
Citrobacter braakii,-13.500341,-1.6511284,9.96951,-7.1249695,-8.005351
Citrobacter europaeus,-11.660015,-2.8042955,6.6768155,-5.248508,-7.85078
Citrobacter freundii,-13.476061,-0.80745316,13.127515,-9.133942,-7.646251
Citrobacter gillenii,-12.7434845,-1.6580415,9.701187,-6.940569,-7.8354335
Citrobacter koseri,-2.9781206,-6.1944113,4.773428,-8.159529,-2.9436991
Citrobacter portucalensis,-12.648251,-0.42031208,8.130433,-6.425926,-7.596813
Citrobacter sp MGH106,-11.340061,-2.2586596,9.891597,-6.5748453,-7.498492
Citrobacter werkmanii,-8.745201,-0.16558751,-0.9767574,0.75765634,-1.3799322
Citrobacter youngae,-13.089968,4.4340105,4.0884256,-2.6666286,-4.550425
Cloacibacillus porcorum,0.11447248,-1.6917877,-1.865064,-0.57789,-0.00012072921
Clostridium aldenense,-2.699765,-3.059491,3.0538707,3.3959072,-0.86453354
Clostridium asparagiforme,-0.047146857,-1.6696882,0.061600506,-0.031428553,-0.256849
Clostridium bolteae,-0.0033416748,-1.2096915,0.43378556,0.31582958,-0.4698517
Clostridium butyricum,0.53245544,1.124763,2.5609708,-1.20316,-0.98300195
Clostridium citroniae,-1.6316395,-2.867245,1.1696504,1.757672,0.014545739
Clostridium clostridioforme,-0.6931576,-1.6186252,0.90913165,1.0000689,-0.7659662
Clostridium disporicum,-1.8259032,-0.78418076,1.0707129,-1.0882035,-3.296082
Clostridium innocuum,0.16511777,0.9931728,1.2501377,-0.76201004,-0.36996105
Clostridium lavalense,0.099318445,-1.9800668,0.22789246,0.08121939,-0.24802855
Clostridium paraputrificum,0.44702938,-0.36399186,-0.017310083,-0.13085958,0.32903352
Clostridium perfringens,0.10636258,5.6263337,9.391551,-1.5484126,-5.179219
Clostridium sp CAG 167,0.7981047,-0.86719304,-0.56853265,-0.18771572,0.32974407
Clostridium sp CAG 253,0.8178342,-0.6883308,-0.19008139,0.14635788,-0.33026746
Clostridium sp CAG 299,0.28318614,-0.9309868,0.06885654,-0.20639198,-0.9509697
Clostridium sp CAG 413,0.5099549,-0.26288062,-0.4916042,-0.09236653,0.068826646
Clostridium sp CAG 510,0.8473424,-0.473413,0.057657808,0.024829112,-0.85494757
Clostridium sp CAG 58,0.98475015,-3.8705614,0.7758373,1.4859276,0.705564
Clostridium sp CAG 964,0.84226525,-0.44314036,-0.39765406,-0.006165956,-0.9251121
Clostridium symbiosum,2.4438622,-1.6132344,3.460929,-0.5113731,-3.091037
Clostridium ventriculi,0.45054656,1.8427458,2.7495804,0.9166173,-2.4267917
Comamonas kerstersii,1.3657818,0.98055774,-0.74579734,-0.056297705,-1.2143469
Coprobacillus cateniformis,0.42959136,-0.40555027,0.013461709,-0.10434713,-0.39875448
Coprobacter fastidiosus,0.7503791,0.033792235,-0.33879116,0.5535193,-0.23043332
Coprobacter secundus,0.6443616,-0.09691542,-0.37121868,0.47760937,0.018901378
Coprococcus catus,0.61857706,-1.251615,1.0566947,0.87166643,0.031064063
Coprococcus comes,0.19776261,-0.577712,-0.0038906336,0.0020320294,-0.7822945
Coprococcus eutactus,-0.0031244159,-0.5887416,0.24964213,-0.297254,-0.94745576
Corynebacterium argentoratense,0.6523612,-0.07625941,-0.72983783,-1.2273934,-0.71224296
Corynebacterium falsenii,0.5857292,0.1489023,-1.0604265,-0.8867377,1.1868392
Cronobacter sakazakii,-18.30576,9.954493,-3.140874,3.5454195,-5.383221
Desulfovibrio fairfieldensis,1.124219,-0.27030677,-0.47882888,-0.57400733,-0.69750786
Desulfovibrio piger,0.72363734,-0.22440335,0.07180911,-0.66271186,-0.40341544
Desulfovibrio sp An276,0.5744697,-0.78734285,-1.5096025,-0.4977682,0.27572647
Desulfovibrio vulgaris,1.0850836,0.37689972,0.024498463,-0.296123,0.6097636
Dialister invisus,1.2794666,0.7897106,-0.1450972,-0.12091462,0.115175664
