taxon,PC1,PC2,PC3,PC4,PC5
Acidaminococcus intestini,-3.0031566152296376,0.908840633175218,-0.21404720027819094,-0.629398325942638,0.26527122364304945
Acinetobacter junii,-0.014779489112992594,-2.389826840985693,0.7295476975872967,1.4632256082631778,-2.0829813682210547
Actinomyces graevenitzii,-2.6442370825411357,0.5867033589422759,0.6484457973385809,-0.03223792346260482,0.07128101296247885
Actinomyces odontolyticus,-2.651855888093594,0.644401956616385,-0.15943457926601284,-0.22794673561219753,-0.04974168088443119
Actinomyces sp ICM47,-2.7248332299049447,0.6653226726583924,0.3351388598465972,-0.054195899958648486,0.14088588867467583
Actinomyces sp oral taxon 181,-2.462139380029808,0.5516983654813894,-0.13680057193435147,-0.2525435588626509,-0.05480799805002995
Actinomyces sp oral taxon 414,-2.8280656322234994,0.7428340918419514,0.04535407997950877,-0.17293249315752365,0.055028892705786134
Aeromonas allosaccharophila,0.7151641455836131,-3.334516744623141,0.2593643431889807,0.20375790575665859,-4.3859321037263275
Aeromonas caviae,6.643950635592419,-6.379151872054253,0.9313222393356961,3.508416309245809,-3.5092707726275325
Aeromonas hydrophila,6.976517665482046,-5.590393717065609,-0.5763876077976118,3.114250499784273,-2.2566281584269334
Aeromonas media,0.6594085644584076,-1.9678365961771693,0.5299626963755942,1.4484933582845376,-1.0674998428216278
Agathobaculum butyriciproducens,-2.8318888500127057,0.889750590336738,-0.2220219129692872,-0.4598471397596151,0.230553592494198
Aggregatibacter segnis,-2.6010376017052312,0.544250291506928,-0.35179587220109815,-0.11752810394488149,-0.1513861165623912
Akkermansia muciniphila,-3.0904212469610384,0.9193623468344864,-0.1143838200930747,-0.5263958104075094,0.3019524716568581
Alistipes finegoldii,-1.381517358878169,-0.5354849522654195,-0.29790844236603176,-0.017435066129232853,-0.8208547364952996
Alistipes indistinctus,-3.172750190610332,1.0429080986205834,-0.34009045962859064,-0.6192004544380438,0.36761423714547414
Alistipes onderdonkii,-1.3292896458524681,-0.8133092168911289,-0.35500969737479054,-0.13104663973650776,-1.2378216848517263
Alistipes putredinis,-3.1704874495608775,1.0401320655314352,-0.3227219978925124,-0.5357460906454101,0.27026011420983914
Alistipes timonensis,-2.796951797616398,0.6834199461195516,-0.2815826350057161,-0.3856236654454751,0.028456356098811236
Alkaliphilus oremlandii,-2.825603192857535,0.8129245006822213,-0.2372105953302131,-0.36795073467587835,0.05933047328832548
Allisonella histaminiformans,-3.417774688559775,1.2352951535559602,-0.27815202878922796,-0.7522036445673216,0.454429288217274
Alloscardovia omnicolens,-2.4606855392115268,0.5613340942998517,-0.15939970286106703,-0.2772421706419105,-0.043491451111503085
Anaeroglobus geminatus,-3.2412155490099543,1.0088570326873,-0.38672386065167663,-0.6898230355508491,0.3638375971094313
Anaeromassilibacillus sp An250,-2.7270690558211568,0.7249285688837732,-0.15818899936121855,-0.3083791592825035,0.14766084695082798
Anaerostipes caccae,-2.9681265250303857,0.965696140132912,-0.14983833806769764,-0.46100343001728383,0.36369501015938166
Anaerostipes hadrus,-1.3637518564925166,0.1051669827182923,-0.07194451291596163,0.188845839357711,0.1394776904594461
Anaerotignum lactatifermentans,-3.1735779488656504,1.1053264463272585,-0.16772623279066506,-0.555233331730236,0.4530118968190213
Anaerotruncus colihominis,-1.7745290960587938,0.364129467379487,-0.8992651031216545,0.6874299434685137,0.7864475564684092
Anaerotruncus sp CAG 528,-3.1669214677578026,1.1375808853372158,-0.1926059542432318,-0.6774936404621282,0.4513386996686723
Bacteroides caccae,-2.5722075284648804,0.623774494868458,-0.6019239023188805,-0.3984911441525632,0.06999768979746956
Bacteroides cellulosilyticus,-0.12797945571148528,-1.7235207649765314,-0.49454488160365523,0.38004758170145564,-1.8560138480714155
Bacteroides clarus,-2.8835930124611187,0.7920672639509911,-0.2748585088705463,-0.5604436810388529,0.17839601181347198
Bacteroides coprocola,-3.268040157223499,1.1533738174668966,-0.37483138481967193,-0.7606057426923165,0.39396945503601144
Bacteroides coprophilus,-2.7425539995412485,0.8114317581189494,0.33278991924443574,-0.14239634979299978,0.3693792531612161
Bacteroides dorei,-2.7079493515615565,0.6666414137556909,-0.4783028064653053,-0.44601177263326774,0.04364525094013888
