"feature_id","family_clean","phylum_clean","tip_group"
"OTU_39","Clostridiaceae","Firmicutes","chai_only"
"OTU_23","Lachnospiraceae","Firmicutes","chai_only"
"OTU_68","unclassified Clostridiales","Firmicutes","chai_only"
"OTU_1218","unclassified Bacteria","Lentisphaerae","neither"
"OTU_21","Veillonellaceae","Firmicutes","neither"
"OTU_341","Gemellaceae","Firmicutes","neither"
"OTU_1356","Planococcaceae","Firmicutes","neither"
"OTU_1033","Aerococcaceae","Firmicutes","neither"
"OTU_122","Streptococcaceae","Firmicutes","neither"
"OTU_175","Lactobacillaceae","Firmicutes","both"
"OTU_398","Leuconostocaceae","Firmicutes","neither"
"OTU_309","Carnobacteriaceae","Firmicutes","neither"
"OTU_1416","Enterococcaceae","Firmicutes","neither"
"OTU_424","Staphylococcaceae","Firmicutes","neither"
"OTU_284","Turicibacteraceae","Firmicutes","neither"
"OTU_109","Peptostreptococcaceae","Firmicutes","neither"
"OTU_251","Mogibacteriaceae","Firmicutes","neither"
"OTU_168","Candidatus Izemoplasmataceae","Tenericutes","neither"
"OTU_124","Erysipelotrichaceae","Firmicutes","chai_only"
"OTU_1127","Anaeroplasmataceae","Tenericutes","neither"
"OTU_179","unclassified ML615J-28","Tenericutes","neither"
"OTU_60","Coriobacteriaceae","Actinobacteria","neither"
"OTU_74","Bifidobacteriaceae","Actinobacteria","neither"
"OTU_468","Actinomycetaceae","Actinobacteria","neither"
"OTU_1387","Dermabacteraceae","Actinobacteria","neither"
"OTU_416","Micrococcaceae","Actinobacteria","neither"
"OTU_666","Corynebacteriaceae","Actinobacteria","neither"
"OTU_307","unclassified Streptophyta","Cyanobacteria","chai_only"
"OTU_83","Candidatus Gastranaerophilaceae","Cyanobacteria","both"
"OTU_768","Deferribacteraceae","Deferribacteres","neither"
"OTU_55","Desulfovibrionaceae","Proteobacteria","neither"
"OTU_298","Pseudomonadaceae","Proteobacteria","neither"
"OTU_608","Moraxellaceae","Proteobacteria","neither"
"OTU_1308","Aeromonadaceae","Proteobacteria","neither"
"OTU_8","Enterobacteriaceae","Proteobacteria","neither"
"OTU_107","Pasteurellaceae","Proteobacteria","neither"
"OTU_429","Oxalobacteraceae","Proteobacteria","neither"
"OTU_11","Alcaligenaceae","Proteobacteria","neither"
"OTU_1151","Comamonadaceae","Proteobacteria","neither"
"OTU_491","Neisseriaceae","Proteobacteria","neither"
"OTU_1015","Helicobacteraceae","Proteobacteria","neither"
"OTU_373","Campylobacteraceae","Proteobacteria","neither"
"OTU_1093","Succinivibrionaceae","Proteobacteria","neither"
"OTU_550","mitochondria","Proteobacteria","neither"
"OTU_288","Methanomassiliicoccaceae","Euryarchaeota","neither"
"OTU_181","Methanobacteriaceae","Euryarchaeota","neither"
"OTU_1115","Brucellaceae","Proteobacteria","neither"
"OTU_327","Acetobacteraceae","Proteobacteria","neither"
"OTU_16","unclassified RF32","Proteobacteria","both"
"OTU_6","Verrucomicrobiaceae","Verrucomicrobia","neither"
"OTU_732","Synergistaceae","Synergistetes","neither"
"OTU_409","Cerasicoccaceae","Verrucomicrobia","neither"
"OTU_259","Victivallaceae","Lentisphaerae","neither"
"OTU_1238","Leptotrichiaceae","Fusobacteria","neither"
"OTU_95","Fusobacteriaceae","Fusobacteria","BH_only"
"OTU_479","Dehalobacteriaceae","Firmicutes","chai_only"
"OTU_396","Peptococcaceae","Firmicutes","neither"
"OTU_646","Eubacteriaceae","Firmicutes","chai_only"
"OTU_633","Thermoactinomycetaceae","Firmicutes","neither"
"OTU_704","Acholeplasmataceae","Tenericutes","neither"
"OTU_374","unclassified SHA-98","Firmicutes","neither"
"OTU_86","Christensenellaceae","Firmicutes","both"
"OTU_375","Tissierellaceae","Firmicutes","chai_only"
"OTU_7","Ruminococcaceae","Firmicutes","both"
"OTU_5","Porphyromonadaceae","Bacteroidetes","neither"
"OTU_1144","unclassified Sphingobacteriales","Bacteroidetes","neither"
"OTU_1159","Weeksellaceae","Bacteroidetes","chai_only"
"OTU_61","Barnesiellaceae","Bacteroidetes","chai_only"
"OTU_147","Muribaculaceae","Bacteroidetes","chai_only"
"OTU_59","Odoribacteraceae","Bacteroidetes","neither"
"OTU_324","Sphingobacteriaceae","Bacteroidetes","neither"
"OTU_10","Rikenellaceae","Bacteroidetes","chai_only"
"OTU_1","Bacteroidaceae","Bacteroidetes","neither"
"OTU_49","Paraprevotellaceae","Bacteroidetes","neither"
"OTU_3","Prevotellaceae","Bacteroidetes","both"
