"display_rank","taxon_key","z_main","p_main","A","B","C","auxiliary_information","direction"
1,"Ruminococcaceae",-3.72864549170301,0.000192511750602552,1.95996398454005,0,0,1.95996398454005,"Higher in R"
2,"unclassified Streptophyta",-3.02542829600521,0.00248281267411943,0,0,0,0,"Higher in R"
3,"Micrococcaceae",-2.45764515580093,0.0139851280822197,0,0,0,0,"Higher in R"
4,"Dehalobacteriaceae",-2.17516619189947,0.0296176646678333,0,0,0,0,"Higher in R"
5,"Lactobacillaceae",-2.17303114279157,0.0297779734388314,0,0,0,0,"Higher in R"
6,"Porphyromonadaceae",-2.12884606025029,0.0332669987034617,0,0,0,0,"Higher in R"
7,"Erysipelotrichaceae",-2.00976636432219,0.0444559223049665,0,0,0,0,"Higher in R"
8,"Fusobacteriaceae",-1.9382031440985,0.0525984433230223,0,0,0,0,"Higher in R"
9,"unclassified SHA-98",-1.89666786198979,0.0578717878752207,0,0,0,0,"Higher in R"
10,"Eubacteriaceae",-1.87154626498916,0.0612694034876252,0,0,0,0,"Higher in R"
11,"unclassified Clostridiales",-1.79821201018301,0.0721434170344687,0,0,0,0,"Higher in R"
12,"Enterococcaceae",-1.73870084757938,0.0820873968796232,0,0,0,0,"Higher in R"
13,"Tissierellaceae",-1.61776904387322,0.105712380052797,0,0,0,0,"Higher in R"
14,"mitochondria",-1.54371934869244,0.122656336878079,0,0,0,0,"Higher in R"
15,"Aeromonadaceae",1.5191090506255,0.128735048957948,0,0,0,0,"Higher in NR"
16,"Dermabacteraceae",1.5191090506255,0.128735048957948,0,0,0,0,"Higher in NR"
17,"Turicibacteraceae",-1.51903636424298,0.128753342932731,0,0,0,0,"Higher in R"
18,"unclassified RF32",-1.50010806985141,0.133586410911984,0,0,0,0,"Higher in R"
19,"Bacteroidaceae",1.45443618470685,0.145825413983948,-1.6843963790233,0,0,-1.6843963790233,"Higher in NR"
20,"Gemellaceae",-1.44682769911578,0.147945186851883,0,0,0,0,"Higher in R"
21,"Anaeroplasmataceae",-1.36422788309123,0.172495855113239,0,0,0,0,"Higher in R"
22,"Leuconostocaceae",-1.36422788309123,0.172495855113239,1.95996398454005,0,0,1.95996398454005,"Higher in R"
23,"Methanomassiliicoccaceae",-1.36422788309123,0.172495855113239,0,0,0,0,"Higher in R"
24,"Synergistaceae",-1.36422788309123,0.172495855113239,0,0,0,0,"Higher in R"
25,"unclassified ML615J-28",-1.36422788309123,0.172495855113239,0,0,0,0,"Higher in R"
26,"Staphylococcaceae",-1.3243818547181,0.185376257770565,0,0,0,0,"Higher in R"
27,"Desulfovibrionaceae",1.24855107922548,0.211829314856631,0,0,0,0,"Higher in NR"
28,"Comamonadaceae",-1.16742751248376,0.243037765851448,0,0,0,0,"Higher in R"
29,"Clostridiaceae",-1.12392493864146,0.261044870573821,0,0,0,0,"Higher in R"
30,"Corynebacteriaceae",-1.12075828208487,0.262390766258448,0,0,0,0,"Higher in R"
31,"Moraxellaceae",-1.06945500856524,0.284864691713282,-1.95996398454005,0,0,-1.95996398454005,"Higher in R"
32,"Pasteurellaceae",1.03148325431269,0.302314257027726,0,0,0,0,"Higher in NR"
33,"Acholeplasmataceae",-0.941966871658227,0.346209601161952,0,0,0,0,"Higher in R"
34,"Brucellaceae",-0.941966871658227,0.346209601161952,0,0,0,0,"Higher in R"
35,"Cerasicoccaceae",-0.941966871658227,0.346209601161952,1.95996398454005,0,0,1.95996398454005,"Higher in R"
36,"Leptotrichiaceae",-0.941966871658227,0.346209601161952,0,0,0,0,"Higher in R"
37,"Succinivibrionaceae",-0.941966871658227,0.346209601161952,0,0,0,0,"Higher in R"
38,"Lachnospiraceae",-0.925550299358904,0.354679732302948,1.95996398454005,0,0,1.95996398454005,"Higher in R"
39,"Methanobacteriaceae",-0.904923468785969,0.36550593288084,0,0,0,0,"Higher in R"
40,"Barnesiellaceae",-0.880774564506693,0.378439849329781,-2.96773792534179,0,0,-2.96773792534179,"Higher in R"
41,"Sphingobacteriaceae",0.839524851133062,0.401174849771563,0,0,0,0,"Higher in NR"
42,"Paraprevotellaceae",0.8044576207748,0.42113273508585,0,0,0,0,"Higher in NR"
43,"Alcaligenaceae",0.795011393704234,0.426606874486558,0,0,0,0,"Higher in NR"
44,"Oxalobacteraceae",-0.792451048123538,0.428097724092242,0,0,0,0,"Higher in R"
45,"Weeksellaceae",0.787054547937246,0.431249934991942,0,0,0,0,"Higher in NR"
46,"Pseudomonadaceae",-0.70216764998398,0.482574617551177,0,0,0,0,"Higher in R"
47,"Prevotellaceae",0.67522230111657,0.499534540000894,1.95996398454005,0,0,1.95996398454005,"Higher in NR"
48,"Mogibacteriaceae",-0.665264434055605,0.505881374496765,0,0,0,0,"Higher in R"
49,"Acetobacteraceae",-0.658280588604383,0.510357848868694,0,0,0,0,"Higher in R"
50,"Planococcaceae",-0.658280588604383,0.510357848868694,0,0,0,0,"Higher in R"
51,"Thermoactinomycetaceae",-0.658280588604383,0.510357848868694,0,0,0,0,"Higher in R"
52,"unclassified Sphingobacteriales",-0.658280588604383,0.510357848868694,0,0,0,0,"Higher in R"
53,"Peptococcaceae",-0.6351197609067,0.525350309892222,0,0,0,0,"Higher in R"
54,"Aerococcaceae",-0.617487739476975,0.536913065734085,0,0,0,0,"Higher in R"
55,"Christensenellaceae",-0.53333412083354,0.593802312172792,0,0,0,0,"Higher in R"
56,"Veillonellaceae",0.502441591080548,0.615356929003752,0,0,0,0,"Higher in NR"
57,"Neisseriaceae",-0.497908585464625,0.6185484756991,0,0,0,0,"Higher in R"
58,"Actinomycetaceae",-0.404278617289762,0.686007847569796,0,0,0,0,"Higher in R"
59,"Bifidobacteriaceae",-0.403658900271125,0.686463566485819,0,0,0,0,"Higher in R"
60,"Campylobacteraceae",0.367802102372561,0.713020801279568,0,0,0,0,"Higher in NR"
61,"Streptococcaceae",-0.317331531208767,0.750992054328097,0,0,0,0,"Higher in R"
62,"Victivallaceae",-0.267363752141309,0.789189105458103,0,0,0,0,"Higher in R"
63,"Rikenellaceae",-0.264642839098824,0.791284615510346,0,0,0,0,"Higher in R"
64,"Enterobacteriaceae",-0.264452926739167,0.791430932957301,-2.05374891063182,0,0,-2.05374891063182,"Higher in R"
65,"Verrucomicrobiaceae",0.240610784409936,0.809856790965847,0,0,0,0,"Higher in NR"
66,"Helicobacteraceae",-0.157410909587449,0.874921016034103,0,0,0,0,"Higher in R"
67,"Odoribacteraceae",0.148008263432746,0.882336246796279,-1.96859166918659,0,0,-1.96859166918659,"Higher in NR"
68,"Deferribacteraceae",0.11973615512654,0.904692158731897,0,0,0,0,"Higher in NR"
69,"Carnobacteriaceae",-0.0884932996791865,0.929484609529384,0,0,0,0,"Higher in R"
70,"Coriobacteriaceae",0.0793928517296472,0.936720154189048,1.95996398454005,0,0,1.95996398454005,"Higher in NR"
71,"Peptostreptococcaceae",0.0530007595802823,0.957731302508313,0,0,0,0,"Higher in NR"
