"genus","PCoA +
Wilcoxon","PCoA +
DESeq2","LLM +
Wilcoxon"
"'Solanum",TRUE,FALSE,FALSE
"02d06",TRUE,FALSE,FALSE
"Abiotrophia",FALSE,TRUE,FALSE
"Acidaminococcus",TRUE,FALSE,FALSE
"Acinetobacter",FALSE,TRUE,FALSE
"Adlercreutzia",TRUE,FALSE,TRUE
"Aggregatibacter",TRUE,FALSE,FALSE
"Akkermansia",TRUE,FALSE,FALSE
"Allobaculum",TRUE,FALSE,FALSE
"Anaerofilum",TRUE,FALSE,FALSE
"Anaerofustis",TRUE,FALSE,TRUE
"Anaeroplasma",TRUE,FALSE,FALSE
"Anaerorhabdus",TRUE,FALSE,FALSE
"Anaerostipes",TRUE,TRUE,FALSE
"Arcobacter",TRUE,FALSE,FALSE
"Atopobium",TRUE,TRUE,TRUE
"Bacteroides",TRUE,FALSE,TRUE
"Barnesiella",FALSE,TRUE,FALSE
"Bifidobacterium",TRUE,FALSE,FALSE
"Bilophila",TRUE,FALSE,FALSE
"Blautia",TRUE,FALSE,FALSE
"Brachybacterium",TRUE,FALSE,FALSE
"Bulleidia",TRUE,FALSE,FALSE
"Butyricicoccus",TRUE,FALSE,FALSE
"Butyricimonas",FALSE,TRUE,FALSE
"Butyrivibrio",TRUE,FALSE,FALSE
"Campylobacter",TRUE,FALSE,FALSE
"Catenibacterium",TRUE,FALSE,FALSE
"cc_115",FALSE,TRUE,FALSE
"Christensenella",TRUE,FALSE,FALSE
"Citrobacter",TRUE,TRUE,TRUE
"Cloacibacillus",TRUE,FALSE,FALSE
"Clostridium",TRUE,FALSE,FALSE
"Collinsella",TRUE,FALSE,FALSE
"Coprobacillus",TRUE,FALSE,FALSE
"Coriobacterium",TRUE,FALSE,FALSE
"Corynebacterium",TRUE,FALSE,TRUE
"Defluviitalea",TRUE,FALSE,FALSE
"Dehalobacterium",TRUE,FALSE,FALSE
"Dialister",TRUE,FALSE,FALSE
"Dorea",TRUE,FALSE,FALSE
"Dysgonomonas",FALSE,TRUE,FALSE
"Eggerthella",TRUE,FALSE,FALSE
"Eikenella",TRUE,FALSE,TRUE
"Enhydrobacter",FALSE,TRUE,FALSE
"Enterobacter",TRUE,FALSE,FALSE
"Enterocloster",TRUE,FALSE,FALSE
"Epulopiscium",TRUE,FALSE,FALSE
"Eubacterium",TRUE,FALSE,FALSE
"Faecalibacterium",FALSE,FALSE,TRUE
"Fusobacterium",TRUE,FALSE,TRUE
"Gardnerella",TRUE,TRUE,FALSE
"Gemmiger",FALSE,TRUE,FALSE
"Granulicatella",TRUE,FALSE,FALSE
"Haemophilus",TRUE,FALSE,FALSE
"Helicobacter",TRUE,FALSE,FALSE
"Hespellia",FALSE,FALSE,TRUE
"Holdemania",TRUE,FALSE,FALSE
"human",TRUE,TRUE,FALSE
"Hungatella",TRUE,FALSE,FALSE
"Lachnobacterium",TRUE,FALSE,FALSE
"Lachnospira",TRUE,TRUE,FALSE
"Lacrimispora",TRUE,FALSE,FALSE
"Lactobacillus",FALSE,TRUE,FALSE
"Lactonifactor",TRUE,FALSE,TRUE
"Macellibacteroides",FALSE,TRUE,FALSE
"Methanobrevibacter",TRUE,FALSE,FALSE
"Methanosphaera",FALSE,TRUE,FALSE
"Mitsuokella",TRUE,FALSE,FALSE
"Mobiluncus",TRUE,FALSE,TRUE
"Moryella",TRUE,FALSE,FALSE
"Mucispirillum",TRUE,FALSE,TRUE
"Neisseria",FALSE,TRUE,FALSE
"Nicotiana",TRUE,FALSE,FALSE
"Ochrobactrum",TRUE,FALSE,FALSE
"Odoribacter",TRUE,FALSE,FALSE
"Oribacterium",TRUE,TRUE,FALSE
"Pantoea",FALSE,TRUE,FALSE
"Papillibacter",TRUE,FALSE,FALSE
"Parabacteroides",FALSE,FALSE,TRUE
"Paraprevotella",TRUE,FALSE,FALSE
"Parvimonas",TRUE,FALSE,TRUE
"Peptostreptococcus",TRUE,FALSE,FALSE
