"kind","file","q005","q010","matches_legacy","sideinfo_rows_matched","sideinfo_exact"
"chai","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/cache/featureSelectionLines/combined/weighted/aux_family/cache_chai_target_family_aux_family_B_1000.rds",0,23,FALSE,NA,NA
"chai","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/cache/featureSelectionLines/combined/weighted/aux_family/cache_chai_target_family_aux_family.rds",0,13,FALSE,NA,NA
"chai","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan03252026/cache/featureSelectionLines/claude/weighted/aux_family/cache_chai_target_family_aux_family.rds",20,44,FALSE,NA,NA
"chai","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan03252026/cache/featureSelectionLines/combined/weighted/aux_family/cache_chai_target_family_aux_family.rds",2,21,FALSE,NA,NA
"chai","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan03252026/cache/featureSelectionLines/gemini/weighted/aux_family/cache_chai_target_family_aux_family.rds",38,46,FALSE,NA,NA
"chai","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan03252026/cache/featureSelectionLines/openai/weighted/aux_family/cache_chai_target_family_aux_family.rds",0,24,FALSE,NA,NA
"df_model","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/cache/featureSelectionLines/combined/weighted/aux_family/cache_df_model_target_family_aux_family.rds",NA,NA,FALSE,27,FALSE
"df_model","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan03252026/cache/featureSelectionLines/claude/weighted/aux_family/cache_df_model_target_family_aux_family.rds",NA,NA,FALSE,25,FALSE
"df_model","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan03252026/cache/featureSelectionLines/combined/weighted/aux_family/cache_df_model_target_family_aux_family.rds",NA,NA,FALSE,25,FALSE
"df_model","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan03252026/cache/featureSelectionLines/gemini/weighted/aux_family/cache_df_model_target_family_aux_family.rds",NA,NA,FALSE,25,FALSE
"df_model","/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan03252026/cache/featureSelectionLines/openai/weighted/aux_family/cache_df_model_target_family_aux_family.rds",NA,NA,FALSE,25,FALSE
