"q","kingdom","phylum","class","order","family","genus","species","otu","family_clean","PCoA1","PCoA2","p_value","z_value","clFDR","clFDR_rank","avgFDR_at_rank"
0.05,"k__Bacteria","p__Cyanobacteria","c__Chloroplast","o__Streptophyta","f__unclassified Streptophyta",NA,NA,"OTU_307","unclassified Streptophyta",0.0951039851815357,-0.406439211014598,0.00248281267411943,-3.02542829600521,0.0103034003920159,1,0.0103034003920159
0.05,"k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae",NA,NA,"OTU_55","Desulfovibrionaceae",0.301603391381178,0.230561240143214,0.211829314856631,1.24855107922548,0.0115349629924989,2,0.0109191816922574
0.05,"k__Bacteria","p__Firmicutes","c__Clostridia","o__SHA-98","f__unclassified SHA-98",NA,NA,"OTU_374","unclassified SHA-98",-0.109701463269073,-0.0360966161249662,0.0578717878752207,-1.89666786198979,0.0125163979869585,3,0.0114515871238244
0.05,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae",NA,NA,"OTU_416","Micrococcaceae",0.0785202334612047,-0.32003105766955,0.0139851280822197,-2.45764515580093,0.029946717351002,10,0.0202065401592231
0.05,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae",NA,NA,"OTU_39","Clostridiaceae",-0.244954615220298,-0.00666973116473962,0.145825413983948,-1.45443618470685,0.0315639354407356,13,0.0227608233550755
0.05,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae",NA,NA,"OTU_1416","Enterococcaceae",0.0375752693119678,-0.236123801920214,0.0820873968796232,-1.73870084757938,0.0423326578680174,14,0.0241588115345714
0.05,"k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae",NA,NA,"OTU_124","Erysipelotrichaceae",0.0575976701671798,-0.351553028275045,0.0721434170344687,-1.79821201018301,0.0509667230838925,15,0.0259460056378595
0.05,"k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae",NA,NA,"OTU_732","Synergistaceae",0.135358582191118,-0.0109776047344232,0.172495855113239,-1.36422788309123,0.0679220021496957,18,0.0322310157754363
0.05,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae",NA,NA,"OTU_666","Corynebacteriaceae",0.082300499548672,-0.342154084943982,0.262390766258448,-1.12075828208487,0.0681194245504474,19,0.0341198793951738
0.05,"k__Bacteria","p__Tenericutes","c__Mollicutes","o__Anaeroplasmatales","f__Anaeroplasmataceae",NA,NA,"OTU_1127","Anaeroplasmataceae",0.0541333335963996,-0.326730439433356,0.172495855113239,-1.36422788309123,0.0703924039410383,20,0.035933505622467
0.05,"k__Bacteria","p__Tenericutes","c__Mollicutes","o__Candidatus Izemoplasmatales","f__Candidatus Izemoplasmataceae",NA,NA,"OTU_168","Candidatus Izemoplasmataceae",0.0371452922147738,-0.196799385979059,0.0202547090575484,-2.32159582238908,0.0783422717714687,21,0.0379529706771814
0.05,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Turicibacterales","f__Turicibacteraceae",NA,NA,"OTU_284","Turicibacteraceae",0.030696657352562,-0.179744223090307,0.128753342932731,-1.51903636424298,0.089487647557265,26,0.0470417805079477
0.05,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae",NA,NA,"OTU_23","Lachnospiraceae",-0.252011651616925,-0.0198729227304137,0.397431467681905,-0.846217416556712,0.104156559021989,27,0.0491571426751344
0.05,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae",NA,NA,"OTU_398","Leuconostocaceae",0.0514039823568729,-0.344444957188073,0.172495855113239,-1.36422788309123,0.116365611971676,28,0.0515574451500109
0.05,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae",NA,NA,"OTU_429","Oxalobacteraceae",0.384175129700119,0.306170871048166,0.428097724092242,-0.792451048123538,0.116437223821099,29,0.0537946788972898
0.05,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Aerococcaceae",NA,NA,"OTU_1033","Aerococcaceae",0.038107677509964,-0.23997699332129,0.536913065734085,-0.617487739476975,0.13676241006687,31,0.0587723172826616
0.05,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Thermoactinomycetaceae",NA,NA,"OTU_633","Thermoactinomycetaceae",-0.10805741726405,-0.0272722057930699,0.510357848868694,-0.658280588604383,0.164114436782232,36,0.0716153387980577
0.05,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Mogibacteriaceae",NA,NA,"OTU_251","Mogibacteriaceae",0.0316893423460706,-0.165281639838961,0.505881374496765,-0.665264434055605,0.167575679116128,38,0.0766237148153923
0.05,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae",NA,NA,"OTU_468","Actinomycetaceae",0.0706297369678712,-0.273552656508013,0.686007847569796,-0.404278617289762,0.222840131510469,42,0.0890454344465183
0.05,"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae",NA,NA,"OTU_95","Fusobacteriaceae",0.0914387726072558,-0.138908781421076,0.0525984433230223,-1.9382031440985,0.280465693551921,45,0.100741501827737
0.05,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae",NA,NA,"OTU_122","Streptococcaceae",0.047471720042342,-0.312502382735675,0.750992054328097,-0.317331531208767,0.294592855383384,46,0.104955661687642
0.05,"k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae",NA,NA,"OTU_6","Verrucomicrobiaceae",0.144227476990406,-0.0284180292687191,0.809856790965847,0.240610784409936,0.39272120448878,51,0.127669168230688
0.05,"k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__unclassified Sphingobacteriales",NA,NA,"OTU_1144","unclassified Sphingobacteriales",-0.724031756354124,0.22492618092721,0.510357848868694,-0.658280588604383,0.517394703295559,56,0.157541729762933
0.05,"k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae",NA,NA,"OTU_1093","Succinivibrionaceae",0.33651674355789,0.24803201769703,0.346209601161952,-0.941966871658227,0.54219581237528,57,0.164290047001746
0.05,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae",NA,NA,"OTU_147","Muribaculaceae",-0.772650030316247,0.23866011156301,0.0553699874579377,-1.91596157008014,0.581425648886181,58,0.171482040137685
0.05,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae",NA,NA,"OTU_21","Veillonellaceae",0.0247516059533199,-0.141225616838109,0.615356929003752,0.502441591080548,0.661812451342925,61,0.193414436413057
