"feature_id","kingdom","phylum","class","order","family","genus","genus_clean","clFDR"
"OTU_19","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","Ruminococcus",0.0184252077024908
"OTU_117","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__unclassified Erysipelotrichaceae","unclassified Erysipelotrichaceae",0.142145547508556
"OTU_1077","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanosphaera","Methanosphaera",0.161125672399051
"OTU_369","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__cc_115","cc_115",0.177448133968889
"OTU_164","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Macellibacteroides","Macellibacteroides",0.195043178319064
"OTU_31","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Gemmiger","Gemmiger",0.236403022407019
"OTU_1033","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Abiotrophia","Abiotrophia",0.237667716936467
"OTU_424","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Staphylococcus","Staphylococcus",0.239764226053388
"OTU_365","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Atopobium","Atopobium",0.240745410479847
"OTU_716","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella","Barnesiella",0.250117645994812
"OTU_1375","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Gardnerella","Gardnerella",0.33178181244774
"OTU_491","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Neisseria","Neisseria",0.367112078757453
"OTU_806","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Dehalobacteriaceae","g__unclassified Dehalobacteriaceae","unclassified Dehalobacteriaceae",0.552747932218098
"OTU_695","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminiclostridium","Ruminiclostridium",0.58081164820664
"OTU_298","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Pseudomonas",0.595511349121698
"OTU_779","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__human","human",0.614839971402417
