"kingdom","phylum","class","order","family","genus","species","feature_id","rank_clean","PCoA1","PCoA2","p_value","z_value","clFDR","clFDR_rank","avgFDR_at_rank"
"k__Bacteria","p__Tenericutes","c__Mollicutes","o__Anaeroplasmatales","f__Anaeroplasmataceae","g__Anaeroplasma",NA,"OTU_1127","Anaeroplasma",0.0982584585111028,0.328743347418716,0.172495855113239,-1.36422788309123,0.0650033584543349,37,0.0454844832757132
"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__unclassified Enterococcaceae",NA,"OTU_1416","unclassified Enterococcaceae",0.0849146548786297,0.213207231771663,0.0820873968796232,-1.73870084757938,0.0664761911787541,39,0.0465498083078308
"k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Aggregatibacter",NA,"OTU_269","Aggregatibacter",0.450387370902174,-0.296579278957495,0.219332072233894,-1.22830612590374,0.0792569130439201,53,0.0532780800320121
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Sporobacter",NA,"OTU_1341","Sporobacter",-0.206196794745749,-0.0029812325386096,0.243037765851448,-1.16742751248376,0.0805373172899509,56,0.0547112871533185
"k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__unclassified Erysipelotrichaceae",NA,"OTU_117","unclassified Erysipelotrichaceae",0.101326409851424,0.357892882396212,0.329141311570167,-0.975844938285633,0.0821684629096549,57,0.055192991991149
"k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Staphylococcus",NA,"OTU_424","Staphylococcus",0.0805789877326865,0.1790843284328,0.185376257770565,-1.3243818547181,0.0850248072249224,59,0.0561945137035239
"k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Citrobacter",NA,"OTU_1328","Citrobacter",0.381780386206418,-0.266914807081651,0.25863645691302,-1.12961981725956,0.0852745217848428,60,0.0566791805048792
"k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus",NA,"OTU_747","Cloacibacillus",0.1797938112976,0.00927803271066451,0.346209601161952,-0.941966871658227,0.0853485830201669,61,0.0571491707100479
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptococcaceae","g__unclassified Peptococcaceae",NA,"OTU_396","unclassified Peptococcaceae",-0.037634747094655,-0.00542180016926261,0.602663675521491,-0.520573841972633,0.131220410455653,85,0.0713016200217703
"k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Rummeliibacillus",NA,"OTU_1356","Rummeliibacillus",0.0814197942550142,0.185695730069339,0.510357848868694,-0.658280588604383,0.132386936944497,86,0.0720119144045927
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__02d06",NA,"OTU_265","02d06",-0.193628454407784,-0.0189901347634829,0.482535798511518,-0.702229905289035,0.135311171253375,87,0.0727394920695212
"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Brucellaceae","g__Ochrobactrum",NA,"OTU_1115","Ochrobactrum",0.237141964037613,-0.159745087238468,0.346209601161952,-0.941966871658227,0.136037247734654,88,0.0734587847475341
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Christensenellaceae","g__Christensenella",NA,"OTU_564","Christensenella",-0.0665087517856702,-0.0121728382742271,0.0869546617065856,-1.71168539414202,0.155313188243149,93,0.0775385092416618
"k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter",NA,"OTU_1015","Helicobacter",0.450072487398929,-0.283656372809243,0.874921016034103,-0.157410909587449,0.161323280120209,96,0.0800654799263915
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__Peptostreptococcus",NA,"OTU_640","Peptostreptococcus",0.0763220965106946,0.145981173913795,0.568685374132392,-0.569988682594131,0.177991767373214,99,0.0828321231983219
"k__Bacteria","p__Lentisphaerae","c__Lentisphaeria","o__Victivallales","f__Victivallaceae","g__Victivallis",NA,"OTU_456","Victivallis",0.12509557497552,0.0877442127769991,0.833760385684245,-0.209881212783265,0.188688533504149,101,0.0848461465025994
"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__unclassified Fusobacteriaceae",NA,"OTU_502","unclassified Fusobacteriaceae",0.134685964867835,0.125131458584032,0.833760385684245,-0.209881212783265,0.189176960989677,102,0.0858689976250217
"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",NA,"OTU_540","Streptococcus",0.098785564078871,0.322289559343853,0.811882142503662,-0.237998648406575,0.205074912928724,103,0.0870263366085528
"k__Bacteria","p__Cyanobacteria","c__Chloroplast","o__Streptophyta","f__unclassified Streptophyta","g__unclassified Streptophyta",NA,"OTU_307","unclassified Streptophyta",0.132894954132187,0.345538227533806,0.00248281267411943,-3.02542829600521,0.245170981579909,108,0.0937349759149251
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnospira",NA,"OTU_52","Lachnospira",-0.191433759725726,-0.0552570280943959,0.435154667020617,-0.780401361018431,0.249037776564066,109,0.0951597722511557
"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Paraprevotellaceae","g__unclassified Paraprevotellaceae",NA,"OTU_478","unclassified Paraprevotellaceae",-0.50945860905125,-0.179351558899745,0.128735048957948,1.5191090506255,0.337426632214557,118,0.11043823311751
"k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter",NA,"OTU_181","Methanobrevibacter",0.848328011095452,-0.453503634211983,0.34411984385435,-0.946056353730786,0.520484441350988,132,0.146955314583945
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium",NA,"OTU_39","Clostridium",-0.246982658013028,-0.00517542779791524,0.234049048215039,-1.18999324203288,0.524508580571527,133,0.149794060944754
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Dorea",NA,"OTU_85","Dorea",-0.217892172147271,-0.0333912299867743,0.63407630372466,0.475997296813151,0.55948207436658,136,0.158549832160789
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Oribacterium",NA,"OTU_724","Oribacterium",-0.254295277188833,0.00271956339190603,0.710024428990434,0.371823280666576,0.561584064557184,137,0.161491687871711
"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium",NA,"OTU_666","Corynebacterium",0.125397328975138,0.297627044019437,0.262390766258448,-1.12075828208487,0.581537078949816,138,0.164535495053437
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Veillonella",NA,"OTU_144","Veillonella",0.0649557590629334,0.138416786160062,0.287137076319131,-1.06442309448897,0.604555453451288,141,0.17371625706064
"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Atopobium",NA,"OTU_365","Atopobium",0.110226946230412,0.212656810473803,0.243037765851448,-1.16742751248376,0.622002129643046,143,0.179880712784948
"k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemania",NA,"OTU_190","Holdemania",0.0817487716822862,0.196212220942098,0.728178980178206,0.347548910814352,0.641369952405765,144,0.183085499171203
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lactonifactor",NA,"OTU_965","Lactonifactor",-0.261438496978059,0.0090158865844773,0.243037765851448,-1.16742751248376,0.685857672112452,146,0.189703754457454
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__unclassified Veillonellaceae",NA,"OTU_132","unclassified Veillonellaceae",0.0592509841859531,0.0853863334275323,0.242576024259252,-1.16857222475127,0.686479717562167,147,0.193083182777894
"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Scardovia",NA,"OTU_679","Scardovia",0.113570386971467,0.227982749587163,0.346209601161952,-0.941966871658227,0.691842840164927,148,0.196453180462942
"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Coriobacterium",NA,"OTU_573","Coriobacterium",0.131968074494035,0.344322381599827,0.510357848868694,-0.658280588604383,0.717041570270424,149,0.19994706227373
"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium",NA,"OTU_74","Bifidobacterium",0.11315591014027,0.225531035962444,0.465642539632312,-0.72958721467737,0.759251895141661,152,0.210855401281771
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Butyricicoccus",NA,"OTU_165","Butyricicoccus",-0.262861756255194,0.0703762938290785,0.832454723341084,0.211554354139178,0.777059084054223,154,0.21811294247734
"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Pseudobutyrivibrio",NA,"OTU_1421","Pseudobutyrivibrio",-0.275393300733978,0.0214151906234307,0.374936228768087,-0.887265029116913,0.786476303894555,155,0.221779802873581
"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Eggerthella",NA,"OTU_218","Eggerthella",0.126034683135854,0.309192672813269,0.800134740522871,-0.25317272737383,0.868854237962114,157,0.229808192839578
"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Adlercreutzia",NA,"OTU_377","Adlercreutzia",0.121485098273817,0.281801787468687,0.824086644540341,-0.222291916317345,0.902875181577969,159,0.238115079750898
"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Slackia",NA,"OTU_450","Slackia",0.139824868561192,0.392454333108121,0.562135882148014,0.579671921020448,0.944128803514486,161,0.246794149844855
