"selection_rank","feature","z_value","p_value","BH_adjusted_p_value","chai_lFDR","chai_avgFDR","direction","AE1","AE2","AE3","AE4","AE5"
1,"Eubacterium sp CAG 180",-4.75037790980265,2.03036849486619e-06,0.000655809023841779,0.00058865923325509,0.00058865923325509,"lower_in_control",0.5614061,-0.27236927,-0.65402293,-0.1603534,0.16250381
2,"Akkermansia muciniphila",-4.54467173858303,5.50209318300127e-06,0.000888588049054705,0.00136984130482236,0.000979250269038727,"lower_in_control",0.78666705,-0.17723633,-0.57326764,0.0718005,-0.2034334
3,"Cronobacter sakazakii",-3.66435146646836,0.000247966089300218,0.0266976822813234,0.00441782666687279,0.00212544240165008,"lower_in_control",-18.30576,9.954493,-3.140874,3.5454195,-5.383221
4,"Citrobacter youngae",-3.28036254034144,0.00103673770933484,0.0575168109707677,0.00936225672405251,0.00393464598225069,"lower_in_control",-13.089968,4.4340105,4.0884256,-2.6666286,-4.550425
5,"Bifidobacterium bifidum",-2.9549469667381,0.00312722802022356,0.0886375782144794,0.0162346729098087,0.00639465136776229,"lower_in_control",-0.8156902,-0.14271225,-1.6110829,-1.1492329,-1.4090413
6,"Clostridium aldenense",-3.54437148936669,0.000393550306607763,0.0317791872585768,0.016321834310986,0.00804918185829958,"lower_in_control",-2.699765,-3.059491,3.0538707,3.3959072,-0.86453354
7,"Haemophilus pittmaniae",1.83649198284239,0.066284926733307,0.27448758121613,0.0234835422488356,0.010254090485519,"higher_in_control",-1.1656044,-0.2988531,-0.542077,1.3146406,-3.45336
8,"Streptococcus vestibularis",-2.91458375613596,0.00356163224238411,0.0886375782144794,0.0254368408730061,0.0121519342839549,"lower_in_control",-0.1977008,0.8293668,0.7670351,-0.6742518,-0.31143698
9,"Alkaliphilus oremlandii",-2.83441081611337,0.00459102704930641,0.0974553865621046,0.0279116723758415,0.0139030162941645,"lower_in_control",0.398108,-0.40354568,-0.61942846,-0.2438476,0.5284809
10,"Haemophilus sp HMSC71H05",1.57572238593965,0.115089796057283,0.357442347370216,0.0304443941556873,0.0155571540803168,"higher_in_control",-0.899437,0.39279923,0.5925597,0.81961375,-3.3149066
11,"Prevotella sp CAG 279",-3.27186025157698,0.00106842373320311,0.0575168109707677,0.0321418364406341,0.0170648524767093,"lower_in_control",1.0108285,0.0131466985,-0.11830759,0.6858294,0.14642397
12,"Haemophilus parainfluenzae",1.46841483320169,0.141991574822407,0.405869722722454,0.032626305880193,0.0183616402603329,"higher_in_control",-1.968801,-0.13353504,0.27237093,1.3116148,-4.3388124
13,"Monoglobus pectinilyticus",-2.63345374069358,0.00845213484854284,0.109201582243173,0.035958796806332,0.0197152676869482,"lower_in_control",0.72219193,-0.44549975,-0.79546654,0.12378365,-0.23839469
14,"Clostridium citroniae",-2.47544468615125,0.0133070372942884,0.117611591853578,0.0360395968776027,0.0208812912005664,"lower_in_control",-1.6316395,-2.867245,1.1696504,1.757672,0.014545739
15,"Fusicatenibacter saccharivorans",2.3604226813283,0.0182541230884967,0.141173030459239,0.0368771670539946,0.0219476829241283,"higher_in_control",0.21105385,-0.007990502,0.8401531,0.21603163,-2.6951861
16,"Ruthenibacterium lactatiformans",-2.69784647953147,0.00697896170472214,0.102996697917275,0.0377939307746672,0.022938073414787,"lower_in_control",0.46109706,-0.5457566,-0.70448923,-0.09111293,-0.24157616
